,Title,Date,Category,Tokens,Negative,Neutral,Positive,Compound,Month,Week
2095,FM Saidov meets with IFAD President in Rome,2024-05-30,POLITICS,"['fm', 'saidov', 'meets', 'ifad', 'president', 'rome']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2093,Kazakhstan comments on new agreement on nuclear power plants in Uzbekistan,2024-05-30,POLITICS,"['kazakhstan', 'comments', 'new', 'agreement', 'nuclear', 'power', 'plants', 'uzbekistan']",0.0,0.686,0.314,0.4939,2024-05,2024-05-27/2024-06-02
2094,Uzbek citizen who was in Russia without legal representatives repatriated to his homeland,2024-05-30,SOCIETY,"['uzbek', 'citizen', 'russia', 'without', 'legal', 'representatives', 'repatriated', 'homeland']",0.164,0.836,0.0,-0.0951,2024-05,2024-05-27/2024-06-02
2090,Citizens who perpetrated a fraudulent scheme on OLX when buying cars detained in Tashkent ,2024-05-30,SOCIETY,"['citizens', 'perpetrated', 'fraudulent', 'scheme', 'olx', 'buying', 'cars', 'detained', 'tashkent']",0.457,0.543,0.0,-0.7096,2024-05,2024-05-27/2024-06-02
2089,World2Fly Airlines launches direct flights from Madrid to Urgench,2024-05-30,SOCIETY,"['worldfly', 'airlines', 'launches', 'direct', 'flights', 'madrid', 'urgench']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2088,Uzbekistan national team to take part in World Hockey Championship,2024-05-30,SPORT,"['uzbekistan', 'national', 'team', 'take', 'part', 'world', 'hockey', 'championship']",0.0,0.707,0.293,0.4404,2024-05,2024-05-27/2024-06-02
2087,Leading British financial institution to help attract investment to Uzbekistan,2024-05-30,POLITICS,"['leading', 'british', 'financial', 'institution', 'help', 'attract', 'investment', 'uzbekistan']",0.0,0.536,0.464,0.6369,2024-05,2024-05-27/2024-06-02
2086,President Mirziyoyev receives Director General of ICESCO,2024-05-30,POLITICS,"['president', 'mirziyoyev', 'receives', 'director', 'general', 'icesco']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2085,"HIT initiates creation of an international working group to study problems of the Aral, Caspian and Dead Seas",2024-05-30,SOCIETY,"['hit', 'initiates', 'creation', 'international', 'working', 'group', 'study', 'problems', 'aral', 'caspian', 'dead', 'seas']",0.387,0.497,0.116,-0.7096,2024-05,2024-05-27/2024-06-02
2091,Uzbekistan plans to join World Trade Organization by 2026,2024-05-30,BUSINESS,"['uzbekistan', 'plans', 'join', 'world', 'trade', 'organization']",0.0,0.694,0.306,0.296,2024-05,2024-05-27/2024-06-02
2083,Khiva to host 12th session of the Islamic Conference of Tourism Ministers ,2024-05-31,SOCIETY,"['khiva', 'host', 'th', 'session', 'islamic', 'conference', 'tourism', 'ministers']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2082,Uzbekistan may introduce energy consumption rating ,2024-05-31,POLITICS,"['uzbekistan', 'may', 'introduce', 'energy', 'consumption', 'rating']",0.0,0.704,0.296,0.2732,2024-05,2024-05-27/2024-06-02
2081,Uzbekistan’s tourism potential presented at an international exhibition in Shanghai,2024-05-31,SOCIETY,"['uzbekistans', 'tourism', 'potential', 'presented', 'international', 'exhibition', 'shanghai']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2080,Uzbekistan’s national debt reached $34.9 billion in 2023,2024-05-31,SOCIETY,"['uzbekistans', 'national', 'debt', 'reached', 'billion']",0.362,0.435,0.203,-0.2732,2024-05,2024-05-27/2024-06-02
2076,Uzbekistan received humanitarian aid shipments from 30 countries in 2023,2024-05-31,SOCIETY,"['uzbekistan', 'received', 'humanitarian', 'aid', 'shipments', 'countries']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2078,Shavkat Mirziyoyev to visit Bukhara region,2024-05-31,SOCIETY,"['shavkat', 'mirziyoyev', 'visit', 'bukhara', 'region']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2077,Unified dispatch service “112” being launched in Uzbekistan,2024-05-31,SOCIETY,"['unified', 'dispatch', 'service', 'launched', 'uzbekistan']",0.0,0.423,0.577,0.4767,2024-05,2024-05-27/2024-06-02
2075,Uzbek diplomat discuss conditions of detained compatriots in a penal institution in South Korean city of Suwon,2024-05-31,SOCIETY,"['uzbek', 'diplomat', 'discuss', 'conditions', 'detained', 'compatriots', 'penal', 'institution', 'south', 'korean', 'city', 'suwon']",0.197,0.803,0.0,-0.4019,2024-05,2024-05-27/2024-06-02
2079,“Electricity and gas consumption decreased after an increase in tariffs” – Minister of Energy ,2024-05-31,SOCIETY,"['electricity', 'gas', 'consumption', 'decreased', 'increase', 'tariffs', 'minister', 'energy']",0.0,0.577,0.423,0.5267,2024-05,2024-05-27/2024-06-02
2084,Mild earthquake hits Jizzakh region,2024-05-31,SOCIETY,"['mild', 'earthquake', 'hits', 'jizzakh', 'region']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2073,Foreign Ministers of Central Asia gather in Rome for consultations ,2024-05-31,POLITICS,"['foreign', 'ministers', 'central', 'asia', 'gather', 'rome', 'consultations']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2072,Companies from Uzbekistan and Latvia eye to increase export of Uzbek IT products to European markets,2024-05-31,SOCIETY,"['companies', 'uzbekistan', 'latvia', 'eye', 'increase', 'export', 'uzbek', 'products', 'european', 'markets']",0.0,0.796,0.204,0.3182,2024-05,2024-05-27/2024-06-02
2063,Tashkent region officials caught selling state land illegally,2024-05-31,SOCIETY,"['tashkent', 'region', 'officials', 'caught', 'selling', 'state', 'land', 'illegally']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2074,“Courier” detained near Tashkent with synthetic drugs worth 4.8 billion soums,2024-05-31,SOCIETY,"['courier', 'detained', 'near', 'tashkent', 'synthetic', 'drugs', 'worth', 'billion', 'soums']",0.233,0.603,0.164,-0.2023,2024-05,2024-05-27/2024-06-02
2068,Most popular names for newborns in Uzbekistan announced,2024-05-31,SOCIETY,"['popular', 'names', 'newborns', 'uzbekistan', 'announced']",0.0,0.588,0.412,0.4215,2024-05,2024-05-27/2024-06-02
2069,Monetary compensation for gasoline increased for certain categories of persons ,2024-05-31,SOCIETY,"['monetary', 'compensation', 'gasoline', 'increased', 'certain', 'categories', 'persons']",0.0,0.543,0.457,0.4939,2024-05,2024-05-27/2024-06-02
2067,Shavkat Mirziyoyev to hold a meeting with entrepreneurs in Karakalpakstan,2024-05-31,POLITICS,"['shavkat', 'mirziyoyev', 'hold', 'meeting', 'entrepreneurs', 'karakalpakstan']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2070,Shavkat Mirziyoyev arrives in Bukhara,2024-05-31,SOCIETY,"['shavkat', 'mirziyoyev', 'arrives', 'bukhara']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2065,Hockey Sports Complex including an Ice Palace to be built in Tashkent,2024-05-31,SPORT,"['hockey', 'sports', 'complex', 'including', 'ice', 'palace', 'built', 'tashkent']",0.0,1.0,0.0,0.0,2024-05,2024-05-27/2024-06-02
2064,"Enforcement Bureau encumbered by debt case, owes millions to Caravan Group LLC",2024-05-31,SOCIETY,"['enforcement', 'bureau', 'encumbered', 'debt', 'case', 'owes', 'millions', 'caravan', 'group', 'llc']",0.217,0.783,0.0,-0.3612,2024-05,2024-05-27/2024-06-02
2062,"Samarkand resident arrested in $50,000 visa fraud ",2024-05-31,SOCIETY,"['samarkand', 'resident', 'arrested', 'visa', 'fraud']",0.697,0.303,0.0,-0.7845,2024-05,2024-05-27/2024-06-02
2066,Uzbekistan’s state budget deficit increased by 1.5 times in Q1,2024-05-31,SOCIETY,"['uzbekistans', 'state', 'budget', 'deficit', 'increased', 'times', 'q']",0.307,0.455,0.239,-0.1531,2024-05,2024-05-27/2024-06-02
2071,“Club of Friends of Uzbekistan” members hold meeting in Warsaw,2024-05-31,SOCIETY,"['club', 'friends', 'uzbekistan', 'members', 'hold', 'meeting', 'warsaw']",0.12,0.543,0.337,0.4588,2024-05,2024-05-27/2024-06-02
2054,Hungarian tourism company deepening partnership with Uzbekistan,2024-06-01,POLITICS,"['hungarian', 'tourism', 'company', 'deepening', 'partnership', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2052,New showroom of Uzbek products opened in Osh,2024-06-01,BUSINESS,"['new', 'showroom', 'uzbek', 'products', 'opened', 'osh']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2060,Akmal Saidov becomes a member of UN Human Rights Committee,2024-06-01,POLITICS,"['akmal', 'saidov', 'becomes', 'member', 'un', 'human', 'rights', 'committee']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2059,Philippines appointed a new ambassador to Uzbekistan,2024-06-01,SOCIETY,"['philippines', 'appointed', 'new', 'ambassador', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2058,Asialuxe Travel announces rebranding,2024-06-01,POLITICS,"['asialuxe', 'travel', 'announces', 'rebranding']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2057,$226 million to be allocated for construction of new airport in Bukhara region ,2024-06-01,BUSINESS,"['million', 'allocated', 'construction', 'new', 'airport', 'bukhara', 'region']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2056,Tashkent to host horse parade ,2024-06-01,SOCIETY,"['tashkent', 'host', 'horse', 'parade']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2055,Legal entities granted right to produce and manufacture certain precursors,2024-06-01,POLITICS,"['legal', 'entities', 'granted', 'right', 'produce', 'manufacture', 'certain', 'precursors']",0.0,0.472,0.528,0.5574,2024-06,2024-05-27/2024-06-02
2061,Shavkat Mirziyoyev presses symbolic button to start construction of large complexes in Bukhara,2024-06-01,POLITICS,"['shavkat', 'mirziyoyev', 'presses', 'symbolic', 'button', 'start', 'construction', 'large', 'complexes', 'bukhara']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2049,Tashkent traffic safety department asks citizens to use public transport when visiting parks,2024-06-01,SOCIETY,"['tashkent', 'traffic', 'safety', 'department', 'asks', 'citizens', 'use', 'public', 'transport', 'visiting', 'parks']",0.0,0.781,0.219,0.4215,2024-06,2024-05-27/2024-06-02
2051,Female passenger loses consciousness in arrival hall of Tashkent airport,2024-06-01,SOCIETY,"['female', 'passenger', 'loses', 'consciousness', 'arrival', 'hall', 'tashkent', 'airport']",0.247,0.753,0.0,-0.3182,2024-06,2024-05-27/2024-06-02
2053,Mirziyoyev instructs to overcome poverty and crime in Bukhara region,2024-06-01,POLITICS,"['mirziyoyev', 'instructs', 'overcome', 'poverty', 'crime', 'bukhara', 'region']",0.576,0.424,0.0,-0.7783,2024-06,2024-05-27/2024-06-02
2043,Canadian company Condor Energies plans to invest $582M in oil and gas extraction project in Bukhara,2024-06-01,BUSINESS,"['canadian', 'company', 'condor', 'energies', 'plans', 'invest', 'oil', 'gas', 'extraction', 'project', 'bukhara']",0.0,0.84,0.16,0.2263,2024-06,2024-05-27/2024-06-02
2044,Uzbekistan and Malaysia to forge stronger ties following Kuala Lumpur summit,2024-06-01,POLITICS,"['uzbekistan', 'malaysia', 'forge', 'stronger', 'ties', 'following', 'kuala', 'lumpur', 'summit']",0.0,0.755,0.245,0.3818,2024-06,2024-05-27/2024-06-02
2045,Turkish authorities deport Uzbek blogger Beknazar Rakhmatov: Consulate's efforts fail,2024-06-01,SOCIETY,"['turkish', 'authorities', 'deport', 'uzbek', 'blogger', 'beknazar', 'rakhmatov', 'consulates', 'efforts', 'fail']",0.28,0.72,0.0,-0.5423,2024-06,2024-05-27/2024-06-02
2050,Uzbekistan assumes chairmanship in field of tourism in OIC,2024-06-01,POLITICS,"['uzbekistan', 'assumes', 'chairmanship', 'field', 'tourism', 'oic']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2047,Uzbekistan boosts fruit and vegetable exports by 43.3% in early 2024,2024-06-01,BUSINESS,"['uzbekistan', 'boosts', 'fruit', 'vegetable', 'exports', 'early']",0.0,0.685,0.315,0.3182,2024-06,2024-05-27/2024-06-02
2048,Unauthorized gold mining to become criminal offense in Uzbekistan,2024-06-01,BUSINESS,"['unauthorized', 'gold', 'mining', 'become', 'criminal', 'offense', 'uzbekistan']",0.519,0.481,0.0,-0.6597,2024-06,2024-05-27/2024-06-02
2046,Uzbekistan's consumer sector faces 10.6% annual inflation in May,2024-06-01,BUSINESS,"['uzbekistans', 'consumer', 'sector', 'faces', 'annual', 'inflation', 'may']",0.0,1.0,0.0,0.0,2024-06,2024-05-27/2024-06-02
2036,“Children need safe water tanks” – Surayyo Rakhmonova,2024-06-03,SOCIETY,"['children', 'need', 'safe', 'water', 'tanks', 'surayyo', 'rakhmonova']",0.0,0.674,0.326,0.4404,2024-06,2024-06-03/2024-06-09
2042,Qatar Airways launches regular flights to Uzbekistan,2024-06-03,BUSINESS,"['qatar', 'airways', 'launches', 'regular', 'flights', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2041,School’s deputy director in Namangan fired for financial fraud ,2024-06-03,SOCIETY,"['schools', 'deputy', 'director', 'namangan', 'fired', 'financial', 'fraud']",0.597,0.403,0.0,-0.8126,2024-06,2024-06-03/2024-06-09
2040,Climatologist: Lack of oxygen was observed in the air of Tashkent,2024-06-03,SOCIETY,"['climatologist', 'lack', 'oxygen', 'observed', 'air', 'tashkent']",0.315,0.685,0.0,-0.3182,2024-06,2024-06-03/2024-06-09
2039,Union of Journalists of Uzbekistan and Press Club of India sign an MoC,2024-06-03,POLITICS,"['union', 'journalists', 'uzbekistan', 'press', 'club', 'india', 'sign', 'moc']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2038,Uzbekistan delegation takes part in scientific-practical conference in Osh,2024-06-03,POLITICS,"['uzbekistan', 'delegation', 'takes', 'part', 'scientificpractical', 'conference', 'osh']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2037,Uzbek diplomats meet with students studying at a university in German city of Freising,2024-06-03,POLITICS,"['uzbek', 'diplomats', 'meet', 'students', 'studying', 'university', 'german', 'city', 'freising']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2034,Distribution center and trading house to be set up for products of Uzbek companies in Egypt,2024-06-03,BUSINESS,"['distribution', 'center', 'trading', 'house', 'set', 'products', 'uzbek', 'companies', 'egypt']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2033,Qatar begins attracting labor force from Uzbekistan,2024-06-03,BUSINESS,"['qatar', 'begins', 'attracting', 'labor', 'force', 'uzbekistan']",0.0,0.617,0.383,0.4767,2024-06,2024-06-03/2024-06-09
2035,Tashkent to host 19th meeting SCO Forum on June 5,2024-06-03,POLITICS,"['tashkent', 'host', 'th', 'meeting', 'sco', 'forum', 'june']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2028,World famous travel bloggers to be invited to Uzbekistan,2024-06-03,POLITICS,"['world', 'famous', 'travel', 'bloggers', 'invited', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2026,Hundreds of administrative cases launched for energy violations in Uzbekistan,2024-06-03,SOCIETY,"['hundreds', 'administrative', 'cases', 'launched', 'energy', 'violations', 'uzbekistan']",0.309,0.364,0.327,-0.2023,2024-06,2024-06-03/2024-06-09
2027,Deputy governor of Tashkent city for tourism dismissed,2024-06-03,POLITICS,"['deputy', 'governor', 'tashkent', 'city', 'tourism', 'dismissed']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2032,"Research institutes of Uzbekistan, oldest “think tank” in Great Britain discuss issues of developing bilateral cooperation ",2024-06-03,POLITICS,"['research', 'institutes', 'uzbekistan', 'oldest', 'think', 'tank', 'great', 'britain', 'discuss', 'issues', 'developing', 'bilateral', 'cooperation']",0.0,0.745,0.255,0.6249,2024-06,2024-06-03/2024-06-09
2029,"Uzbekistan, South Korea hold a meeting of Intergovernmental Joint Committee on Trade-Economic Cooperation ",2024-06-03,BUSINESS,"['uzbekistan', 'south', 'korea', 'hold', 'meeting', 'intergovernmental', 'joint', 'committee', 'tradeeconomic', 'cooperation']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2030,Member of Uzbekistan boxing team Navbakhor Khamidova secures license for Summer Olympic Games Paris 2024,2024-06-03,SPORT,"['member', 'uzbekistan', 'boxing', 'team', 'navbakhor', 'khamidova', 'secures', 'license', 'summer', 'olympic', 'games', 'paris']",0.0,0.827,0.173,0.3182,2024-06,2024-06-03/2024-06-09
2031,Ex-presidential candidate becomes vice-rector of Agrarian University,2024-06-03,POLITICS,"['expresidential', 'candidate', 'becomes', 'vicerector', 'agrarian', 'university']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2019,Natural gas supplies to be partially suspended in 5 districts of Tashkent,2024-06-04,SOCIETY,"['natural', 'gas', 'supplies', 'partially', 'suspended', 'districts', 'tashkent']",0.292,0.472,0.236,-0.1531,2024-06,2024-06-03/2024-06-09
2020,"Uzbekistan, Iceland discuss prospects for intensifying bilateral cooperation",2024-06-04,SOCIETY,"['uzbekistan', 'iceland', 'discuss', 'prospects', 'intensifying', 'bilateral', 'cooperation']",0.0,0.732,0.268,0.296,2024-06,2024-06-03/2024-06-09
2021,"Uzbekistan, UAE discuss issues of insuring export-import contracts for supply of agricultural products",2024-06-04,BUSINESS,"['uzbekistan', 'uae', 'discuss', 'issues', 'insuring', 'exportimport', 'contracts', 'supply', 'agricultural', 'products']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2022,Products of Uzbek leather industry enterprises presented at an international exhibition in Guangzhou,2024-06-04,BUSINESS,"['products', 'uzbek', 'leather', 'industry', 'enterprises', 'presented', 'international', 'exhibition', 'guangzhou']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2007,Russian PM calls for construction of agro-hubs for Eurasian Agro-Express,2024-06-04,POLITICS,"['russian', 'pm', 'calls', 'construction', 'agrohubs', 'eurasian', 'agroexpress']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2024,Uzbekistan’s Fatwa Center refutes statement about inadmissibility of cryptocurrency trading,2024-06-04,SOCIETY,"['uzbekistans', 'fatwa', 'center', 'refutes', 'statement', 'inadmissibility', 'cryptocurrency', 'trading']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2025,Shavkat Mirziyoyev signs a vital decree aimed at joining WTO,2024-06-04,POLITICS,"['shavkat', 'mirziyoyev', 'signs', 'vital', 'decree', 'aimed', 'joining', 'wto']",0.0,0.761,0.239,0.296,2024-06,2024-06-03/2024-06-09
2017,Driver hits a girl crossing road in wrong place in Tashkent,2024-06-04,BUSINESS,"['driver', 'hits', 'girl', 'crossing', 'road', 'wrong', 'place', 'tashkent']",0.307,0.693,0.0,-0.4767,2024-06,2024-06-03/2024-06-09
2023,UWED graduate wins a British Foreign Office award,2024-06-04,POLITICS,"['uwed', 'graduate', 'wins', 'british', 'foreign', 'office', 'award']",0.0,0.41,0.59,0.802,2024-06,2024-06-03/2024-06-09
2016,Uzbekistan’s FDI volume from Turkey increased 10 times over past five years ,2024-06-04,BUSINESS,"['uzbekistans', 'fdi', 'volume', 'turkey', 'increased', 'times', 'past', 'five', 'years']",0.0,0.792,0.208,0.2732,2024-06,2024-06-03/2024-06-09
2006,Iran's Petrochem to launch a $273M chemical cluster in Bukhara,2024-06-04,SOCIETY,"['irans', 'petrochem', 'launch', 'chemical', 'cluster', 'bukhara']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2010,Uzbekistan eyes massive expansion in auto manufacturing with Chinese investment,2024-06-04,SOCIETY,"['uzbekistan', 'eyes', 'massive', 'expansion', 'auto', 'manufacturing', 'chinese', 'investment']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2014,Ministry of Agriculture sends a request to Kazakhstan regarding “infected tomatoes”,2024-06-04,SOCIETY,"['ministry', 'agriculture', 'sends', 'request', 'kazakhstan', 'regarding', 'infected', 'tomatoes']",0.314,0.686,0.0,-0.4939,2024-06,2024-06-03/2024-06-09
2008,Illegal energy usage in three regions of Uzbekistan leads to substantial financial damage,2024-06-04,SOCIETY,"['illegal', 'energy', 'usage', 'three', 'regions', 'uzbekistan', 'leads', 'substantial', 'financial', 'damage']",0.407,0.359,0.234,-0.5994,2024-06,2024-06-03/2024-06-09
2009,New Indian Ambassador Smita Pant assumes role in Uzbekistan,2024-06-04,SOCIETY,"['new', 'indian', 'ambassador', 'smita', 'pant', 'assumes', 'role', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2015,"Tashkent region to send over 5,000 workers to Russia",2024-06-04,POLITICS,"['tashkent', 'region', 'send', 'workers', 'russia']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2011,Shavkat Mirziyoyev to pay official visit to Turkey ,2024-06-04,POLITICS,"['shavkat', 'mirziyoyev', 'pay', 'official', 'visit', 'turkey']",0.219,0.781,0.0,-0.1027,2024-06,2024-06-03/2024-06-09
2012,Public disorder at football event leads to detention of 13 in Surkhandarya,2024-06-04,SOCIETY,"['public', 'disorder', 'football', 'event', 'leads', 'detention', 'surkhandarya']",0.51,0.49,0.0,-0.6369,2024-06,2024-06-03/2024-06-09
2013,Seasonal bus service to be launched from Tashkent to Issyk-Kul,2024-06-04,SOCIETY,"['seasonal', 'bus', 'service', 'launched', 'tashkent', 'issykkul']",0.0,0.769,0.231,0.128,2024-06,2024-06-03/2024-06-09
2018,Expert warns of water scarcity in Uzbekistan from Afghan canal project,2024-06-04,SOCIETY,"['expert', 'warns', 'water', 'scarcity', 'uzbekistan', 'afghan', 'canal', 'project']",0.167,0.833,0.0,-0.1027,2024-06,2024-06-03/2024-06-09
1997,6-year-old girl dead after being hit by a car in Samarkand,2024-06-05,SOCIETY,"['yearold', 'girl', 'dead', 'hit', 'car', 'samarkand']",0.462,0.538,0.0,-0.6486,2024-06,2024-06-03/2024-06-09
2000,Uzbek regions to bolster relations with Indian state of Karnataka ,2024-06-05,POLITICS,"['uzbek', 'regions', 'bolster', 'relations', 'indian', 'state', 'karnataka']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2002,Construction of a ski complex kicks off in Shakhrisabz,2024-06-05,POLITICS,"['construction', 'ski', 'complex', 'kicks', 'shakhrisabz']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1999,34-year-old woman gives birth to triplets in Navoi,2024-06-05,SOCIETY,"['yearold', 'woman', 'gives', 'birth', 'triplets', 'navoi']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2004,"Uzbekistan, Saudi Arabia review progress of implementing priority investment projects",2024-06-05,BUSINESS,"['uzbekistan', 'saudi', 'arabia', 'review', 'progress', 'implementing', 'priority', 'investment', 'projects']",0.0,0.741,0.259,0.4215,2024-06,2024-06-03/2024-06-09
2005,Nexia-3 catches fire in Tashkent,2024-06-05,SOCIETY,"['nexia', 'catches', 'fire', 'tashkent']",0.444,0.556,0.0,-0.34,2024-06,2024-06-03/2024-06-09
2003,Uzbek diplomats meet with migrant compatriots in Vladivostok,2024-06-05,SOCIETY,"['uzbek', 'diplomats', 'meet', 'migrant', 'compatriots', 'vladivostok']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1998,New mayor appointed to Sardoba district,2024-06-05,POLITICS,"['new', 'mayor', 'appointed', 'sardoba', 'district']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
2001,Number of labor migrants from Uzbekistan in Russia decreased by 4 times – Presidential press secretary,2024-06-05,POLITICS,"['number', 'labor', 'migrants', 'uzbekistan', 'russia', 'decreased', 'times', 'presidential', 'press', 'secretary']",0.0,0.874,0.126,0.0772,2024-06,2024-06-03/2024-06-09
1996,Turkey hosts a symposium dedicated to strategic partnership with Uzbekistan,2024-06-05,POLITICS,"['turkey', 'hosts', 'symposium', 'dedicated', 'strategic', 'partnership', 'uzbekistan']",0.0,0.667,0.333,0.4588,2024-06,2024-06-03/2024-06-09
1994,State Academy of Sports established in Uzbekistan,2024-06-05,SPORT,"['state', 'academy', 'sports', 'established', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1992,YTO Cargo Airlines launching flights to Tashkent,2024-06-05,SOCIETY,"['yto', 'cargo', 'airlines', 'launching', 'flights', 'tashkent']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1995,UN appoints new resident coordinator for Uzbekistan,2024-06-05,POLITICS,"['un', 'appoints', 'new', 'resident', 'coordinator', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1993,Uzbekistan supports US ceasefire initiative in Gaza,2024-06-05,SOCIETY,"['uzbekistan', 'supports', 'us', 'ceasefire', 'initiative', 'gaza']",0.0,0.667,0.333,0.3612,2024-06,2024-06-03/2024-06-09
1989,"Migration to Canada, visa request surge, cooperation with Central Asia – interview with Canadian Ambassador ",2024-06-05,POLITICS,"['migration', 'canada', 'visa', 'request', 'surge', 'cooperation', 'central', 'asia', 'interview', 'canadian', 'ambassador']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1988,President Mirziyoyev departs for Türkiye,2024-06-05,POLITICS,"['president', 'mirziyoyev', 'departs', 'trkiye']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1991,Uzbek MFA answers question about visa-free regime in Thailand,2024-06-05,SOCIETY,"['uzbek', 'mfa', 'answers', 'question', 'visafree', 'regime', 'thailand']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1990,"President talks with Mufti Shaykh Nuriddin Kholiknazar over the phone, receives information about conditions created for pilgrims from Uzbekistan",2024-06-05,POLITICS,"['president', 'talks', 'mufti', 'shaykh', 'nuriddin', 'kholiknazar', 'phone', 'receives', 'information', 'conditions', 'created', 'pilgrims', 'uzbekistan']",0.0,0.857,0.143,0.25,2024-06,2024-06-03/2024-06-09
1981,Huge amount of energy resources stolen in 3 regions,2024-06-06,SOCIETY,"['huge', 'amount', 'energy', 'resources', 'stolen', 'regions']",0.302,0.283,0.415,0.0516,2024-06,2024-06-03/2024-06-09
1979,Putin thanks Uzbekistan for neutrality on Ukraine,2024-06-06,POLITICS,"['putin', 'thanks', 'uzbekistan', 'neutrality', 'ukraine']",0.0,0.58,0.42,0.4404,2024-06,2024-06-03/2024-06-09
1986,UN General Assembly approves a resolution initiated by Uzbekistan on solving drug problems,2024-06-06,POLITICS,"['un', 'general', 'assembly', 'approves', 'resolution', 'initiated', 'uzbekistan', 'solving', 'drug', 'problems']",0.182,0.473,0.345,0.34,2024-06,2024-06-03/2024-06-09
1987,Inspectorate for regulating tobacco and alcohol market established in Uzbekistan,2024-06-06,POLITICS,"['inspectorate', 'regulating', 'tobacco', 'alcohol', 'market', 'established', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
1984,Blogger Murod Makhsudov sentenced to 7.5 years,2024-06-06,SOCIETY,"['blogger', 'murod', 'makhsudov', 'sentenced', 'years']",0.216,0.784,0.0,-0.0258,2024-06,2024-06-03/2024-06-09
1983,Saida Mirziyoeva: We will never retreat from the path of reforms,2024-06-06,POLITICS,"['saida', 'mirziyoeva', 'never', 'retreat', 'path', 'reforms']",0.242,0.758,0.0,-0.1511,2024-06,2024-06-03/2024-06-09
1982,US Congress holds a briefing on Uzbekistan,2024-06-06,POLITICS,"['us', 'congress', 'holds', 'briefing', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-06,2024-06-03/2024-06-09
