Title,Date,Category
Uzbekistan and Albania sign visa-free agreement for diplomatic passport holders,2024-09-24,POLITICS
Telegram to disclose IP addresses and phone numbers of users violating platform rules,2024-09-24,TECH
Customs officers prevent smuggling of 18 kg of mephedrone hidden in audio equipment,2024-09-24,SOCIETY
Children from low-income families to be admitted to kindergartens on preferential terms,2024-09-24,POLITICS
Addressing construction disputes: President announces implementation of escrow system to secure housing transactions,2024-09-24,POLITICS
Uzbekistan establishes diplomatic relations with two more countries,2024-09-24,POLITICS
Uzsuvtaminot refutes water as source of schoolchildren poisoning in Almalyk,2024-09-23,SOCIETY
New law prohibits discrimination based on relatives' criminal records in civil service recruitment,2024-09-23,SOCIETY
Botir Zohidov becomes Minister of Employment and Poverty Reduction,2024-09-23,POLITICS
Underground lab uncovered in Kokand: Cheap medicines sold as expensive products,2024-09-23,SOCIETY
Uzbekistan sees 16.7% increase in tourist arrivals,2024-09-23,TOURISM
Former Agriculture Minister Aziz Voitov accused of embezzling billions through family and associates,2024-09-23,POLITICS
Bukhara customs officials intercept $1.3 million worth of cigarettes masquerading as tea,2024-09-23,BUSINESS
Uzbekistan to supply special footwear to Hungary for $2.5 million,2024-09-23,BUSINESS
Uzbekistan's men's team secures bronze at the World Chess Olympiad,2024-09-23,SPORT
Uzbekistan and Kazakhstan to establish 10 hydrological posts on the Syr Darya River,2024-09-23,POLITICS
Gold bar prices hit new record highs in Uzbekistan,2024-09-23,BUSINESS
Uzbekistan and Türkiye collaborate to launch a qualification assessment center for labor migrants,2024-09-23,POLITICS
"Senate approves key bills for economic growth, public procurement, and traditional medicine accountability",2024-09-23,POLITICS
Over 10 students hospitalized with suspected infections after consuming contaminated water in Almalyk,2024-09-23,SOCIETY
Uzbekistan’s agricultural exports surged by 21% in Jan-Aug 2024,2024-09-23,BUSINESS
Chinese company begins construction of solar power plant in Tashkent region,2024-09-23,BUSINESS
Veolia Energy Tashkent explains reasons for 15% increase in heating costs,2024-09-23,BUSINESS
Uzbekistan seeks to participate in project to supply renewable energy to Europe via the Caspian Sea,2024-09-23,BUSINESS
"Uzbekistan produces over 260,000 cars in eight months, with Cobalt leading the pack",2024-09-23,BUSINESS
Air France may launch flights to Uzbekistan,2024-09-21,SOCIETY
Senate approves laws on combating information fraud and regulating psychological assistance,2024-09-21,POLITICS
"IAEA and Uzbekistan collaborate on nuclear power project, including expert mission for safety infrastructure",2024-09-21,POLITICS
New Cybersecurity Law grants Central Bank enhanced powers to safeguard financial sector,2024-09-21,SOCIETY
Central Election Commission registers 875 candidates for 150 legislative chamber seats,2024-09-21,SOCIETY
Competition Committee uncovers 12 billion UZS worth of state procurement violations across multiple regions,2024-09-21,POLITICS
Senate approves law to combat unauthorized practitioners and unlicensed folk medicine services,2024-09-21,POLITICS
Entrepreneurs in Syrdarya block roads in protest against forced solar panel installations,2024-09-21,BUSINESS
"Uzbekistan's foreign trade grows by 6.6%, led by increased imports and resumed gold sales",2024-09-21,BUSINESS
Uzbekistan increases gas imports from Russia and Turkmenistan as exports to China surge,2024-09-21,BUSINESS
"Uzbekistan leads as the top source of labor migrants in Russia, followed by Tajikistan",2024-09-21,POLITICS
Fergana resident sentenced to 15 days for cryptocurrency trade on Telegram,2024-09-21,SOCIETY
Futsal World Cup 2024: Uzbekistan eliminated after defeat to Costa Rica in group stage,2024-09-21,SPORT
Health Ministry signs cooperation agreement with IAEA to advance nuclear medicine and improve cancer care,2024-09-20,SOCIETY
Senate passes law introducing 5-year entry ban for foreigners who undermine Uzbekistan’s sovereignty and insult its national integrity,2024-09-20,POLITICS
Uzbekistan and Azerbaijan ready to boost consular cooperation and citizen rights protection,2024-09-20,POLITICS
Russia proposes full membership for Uzbekistan in Interstate Anti-Corruption Council to boost cooperation,2024-09-20,POLITICS
Uzbekistan and Iran discuss strengthening trade and investment relations,2024-09-20,SOCIETY
"Uzbekistan tightens domestic violence laws to protect women and children, introduces reconciliation procedures",2024-09-20,SOCIETY
"Shavkat Mirziyoyev receives credentials from six foreign ambassadors, notes strengthened partnerships",2024-09-20,POLITICS
Two university students in Syrdarya sentenced for attempting to steal 177 million UZS from ATM ,2024-09-20,SOCIETY
"NMMC expands renewable energy usage, targeting 40% of Uzbekistan’s power generation from renewables by 2030",2024-09-20,SOCIETY
Uzbekistan may join Russia's global navigation system GLONASS for civilian use,2024-09-20,SOCIETY
Pakistan joins major Eurasian transport corridor passing through Uzbekistan ,2024-09-20,BUSINESS
"Russia to introduce special tourist cards for citizens of Uzbekistan, enabling payments via 'Mir' system",2024-09-20,TOURISM
"Uzbekistan introduces fines for traffic violations on scooters, bicycles, and mopeds",2024-09-20,POLITICS
Futsal World Cup 2024: Uzbekistan seeks redemption against Costa Rica after Paraguay defeat ,2024-09-20,SPORT
Uzbekistan takes over chairmanship of the CIS Space Council for 2024-2025,2024-09-20,POLITICS
"China’s Everbright to build waste incineration plants in Uzbekistan, starting with Fergana and Namangan",2024-09-20,BUSINESS
"Tashkent Metro to receive 104 new cars by 2025, cutting intervals on major lines to 2–3 minutes",2024-09-20,SOCIETY
Tax Committee reports threefold decline in growth of VAT payers in 2024,2024-09-20,BUSINESS
Kazakhstan’s Ambassador to Uzbekistan awarded “Dostlik” order,2024-09-20,POLITICS
Senate Chair Tanzila Narbayeva vows continued assistance to families of deceased workers in Boysun mine incident,2024-09-20,POLITICS
Heating and hot water tariffs in Tashkent to rise by 15%,2024-09-19,SOCIETY
Uzbekistan-Iran Business Forum kicks off in Tashkent,2024-09-19,POLITICS
Navoi Airport expands cargo flight operations with three new airlines,2024-09-19,SOCIETY
Malaysian company Meraque Group plans to launch drone production facility in Uzbekistan,2024-09-19,BUSINESS
Tax exemptions for public associations of people with disabilities to end next year,2024-09-19,POLITICS
Trial of former minister Aziz Voitov held behind closed doors to prevent social pressure,2024-09-19,SOCIETY
"Foreign investment in Uzbekistan: China gains ground on Russia with over 1,000 new companies",2024-09-19,BUSINESS
"Slovakia ready to recruit Category B drivers from Uzbekistan with salaries up to $1,500 and full benefits",2024-09-19,SOCIETY
Consumer confidence index in Uzbekistan climbs while inflation fears mount,2024-09-19,BUSINESS
Uzbekistan national football team improves standing in FIFA World Rankings,2024-09-19,SPORT
Secondary housing market in Tashkent sees marginal price increase in August,2024-09-19,BUSINESS
Russian Railways to open representative office in Uzbekistan and resume Tashkent-Moscow train service,2024-09-19,BUSINESS
Energy Minister: Boysun mine victims’ families to receive compensation and long-term support,2024-09-19,POLITICS
No cases of new XEC COVID-19 strain detected in Uzbekistan – Nurmat Otabekov,2024-09-19,SOCIETY
ADB approves $300M to help boost financial development and inclusion in Uzbekistan,2024-09-19,BUSINESS
Uzbekistan votes in favor of UN resolution Clcalling for end to Israeli occupation and restoration of Palestinian lands,2024-09-19,POLITICS
Ambassador of Egypt completing her diplomatic mission in Uzbekistan,2024-09-19,POLITICS
Four people confirmed dead in Boysun gas field accident,2024-09-18,SOCIETY
Uzbekistan’s new ambassador to France presents credentials to President Macron,2024-09-18,POLITICS
U.S. Embassy in Tashkent puts several official vehicles op for auction,2024-09-18,SOCIETY
"Bukhara airport security thwarts smuggling of 263 coins, some over 500 years old",2024-09-18,SOCIETY
Repeated hydrogen sulfide leak occurs at a field in Surkhandarya,2024-09-18,SOCIETY
Deutsche Bahn partners with Uzbekistan to train and employ railway specialists,2024-09-18,POLITICS
Uzbekistan and Malaysian state Kedah discuss charter flights and economic cooperation to boost tourism,2024-09-18,TOURISM
Germany to simplify work visa issuance for migrants from Uzbekistan,2024-09-18,POLITICS
"Air pollution offenses in Uzbekistan lead to 332 million UZS in fines for 1,356 citizens",2024-09-18,SOCIETY
"Mass fraud, luxury cars, and Rayhon’s $1.8 million house: The scandal behind Panorama Airways and Gulbakhor Airways",2024-09-18,SOCIETY
Antimonopoly Committee launches investigation into Urgench State University for violations in 30 billion UZS procurement,2024-09-18,POLITICS
"Reducing bureaucracy, enhancing security and migration regulation: Key outcomes of Uzbekistan- Türkiye talks",2024-09-18,POLITICS
Pharmaceutical company fined 68 million UZS for counterfeit Imudon production,2024-09-18,SOCIETY
"Over 7,500 citizens of Uzbekistan granted residency permits in Lithuania, second only to Belarus",2024-09-18,SOCIETY
Customs officers prevent smuggling of pneumatic gun and ammunition into Uzbekistan,2024-09-18,SOCIETY
"Russian travel blogger describes her journey on Uzbekistan’s train as a ""true challenge""",2024-09-18,TOURISM
Futsal World Cup 2024: Uzbekistan loses to Paraguay,2024-09-18,SPORT
Traffic on Kamchik Pass temporarily restricted,2024-09-18,SOCIETY
Government introduces stricter rules for mass event safety amid rising incidents,2024-09-17,SOCIETY
Massive passenger jam forms in Tashkent metro due to train malfunction ,2024-09-17,SOCIETY
"Uzbekistan’s auto market grows by 9% in August, but demand for electric vehicles drops by 50%",2024-09-17,SOCIETY
Shavkat Mirziyoyev outlines six strategic priorities for Central Asia-Germany cooperation at summit in Astana,2024-09-17,POLITICS
"Germany ready to employ nurses and drivers from Uzbekistan with monthly salaries starting from €2,200",2024-09-17,POLITICS
Single mother sentenced to 8 years in prison for a fabricated crime orchestrated by police,2024-09-17,SOCIETY
Uzbekistan and Germany launch joint leadership training program for future managers,2024-09-17,POLITICS
"Construction company ""Smart Houses"" faces bankruptcy, leaves 118 families without homes in Tashkent",2024-09-17,SOCIETY
Iranian business delegation to visit Uzbekistan for high-level forums and B2B meetings,2024-09-17,BUSINESS
Khorezm resident arrested for attempting to sell nearly 3 billion UZS worth of illegal medicines,2024-09-17,SOCIETY
Uzbekistan and the U.S. formalize a Memorandum on Critical Minerals,2024-09-17,BUSINESS
Shavkat Mirziyoyev arrives in Astana,2024-09-17,POLITICS
Two employees of Inbazar sentenced to 5 and 7 days of arrest for assault incident,2024-09-16,SOCIETY
Shavkat Mirziyoyev to participate in Central Asia-Germany leaders' summit in Kazakhstan,2024-09-16,POLITICS
UzAuto Motors CEO fined for delayed management of foreign receivables,2024-09-16,SOCIETY
Kyrgyzstan calls on migrant workers in Russia to return home and boost domestic sectors,2024-09-16,SOCIETY
Mirziyoyev and Scholz push for closer industrial partnership between Uzbekistan and German businesses,2024-09-16,POLITICS
"USAID offers grants up to $100,000 for inclusive business projects in Uzbekistan",2024-09-16,POLITICS
Uzbekistan’s real estate market sees 20.8% sales decline amid rising secondary housing prices,2024-09-16,SOCIETY
"""Uzbekistan is an important partner for us"" — Olaf Scholz",2024-09-16,POLITICS
Forced solar panel installation sparks complaints among entrepreneurs in Uzbekistan,2024-09-16,BUSINESS
Gold prices in Uzbekistan reach new heights as global markets soar,2024-09-16,BUSINESS
Uzbekistan and U.S. sign historic customs cooperation and mutual assistance agreement,2024-09-16,POLITICS
Uzbekistan introduces subsidies for modular hotel construction: Payments set at 1 million UZS per bed,2024-09-16,BUSINESS
Tashkent police open pre-investigation inspection against Inbazar founder Omadbek Holmatov,2024-09-16,POLITICS
Boysun mine incident resolved after more than two weeks of intensive work by local and international experts,2024-09-16,SOCIETY
"Uzbekistan and Germany deepen cooperation with agreements in transportation, water resources, and mobility",2024-09-16,BUSINESS
German Chancellor Olaf Scholz arrives in Samarkand,2024-09-16,POLITICS
Tax payments of large energy companies sharply reduced in Uzbekistan ,2024-09-15,POLITICS
Gov't purchased electricity from population for 4.8 billion UZS since year beginning ,2024-09-14,BUSINESS
Uzbek military secured 1st place in international competition held in South Korea,2024-09-14,BUSINESS
Uzbekistan improves its position in global cybersecurity index ,2024-09-14,POLITICS
"Slovakia, Hungary, Croatia and Russia invite Uzbeks to work",2024-09-14,TECH
"Mirziyoyev, Scholz to hold talks in Samarkand",2024-09-14,POLITICS
Tashkent mayor approves 732.6 billion UZS budget for housing and utility repairs before winter season,2024-09-14,POLITICS
"FM Bakhtiyor Saidov receives credentials from newly appointed ambassadors of Uruguay, Benin, and Angola",2024-09-14,POLITICS
Saida Mirziyoyeva: Uzbekistan leads Central Asia in efforts against domestic violence and labor reforms,2024-09-14,POLITICS
Chinese energy company Jin Ming to invest $250 million in Andijan's waste-to-energy project,2024-09-14,POLITICS
Uzbekistan completes negotiations on WTO membership with 18 countries,2024-09-14,SOCIETY
Air Forces of Uzbekistan and Kazakhstan hold a joint airspace defense exercise,2024-09-14,SOCIETY
Competition Committee sues UzAuto Motors for violating consumer rights,2024-09-13,SOCIETY
Saida Mirziyoyeva meets with WTO Director General ,2024-09-13,POLITICS
Shavkat Mirziyoyev receives Türkiye’s Minister of Foreign Affairs and director of National Intelligence Service,2024-09-13,POLITICS
No Uzbek citizens affected by typhoon in Thailand,2024-09-13,SOCIETY
CBU revokes license of another payment organization,2024-09-13,BUSINESS
Uzbekistan Swimming Federation officials embezzle over 2 billion UZS,2024-09-13,SOCIETY
Interior Minister Pulat Bobojonov receives his Turkish counterpart  ,2024-09-13,POLITICS
Another border post with Kyrgyzstan opened in Namangan,2024-09-13,POLITICS
Chirchik metal construction plant sold for almost 40 billion UZS ,2024-09-13,SOCIETY
Uzbek man extradited from Türkiye for fraud suspect,2024-09-13,SOCIETY
Uzbekistan plans regional distribution center in Qatar’s Hamad port with Qatar Airways involvement,2024-09-12,BUSINESS
Shavkat Mirziyoyev proposes exemption from social tax for low-income citizens for 3 years,2024-09-12,POLITICS
UzKimyoSanoat and ACWA Power secure $65M loan from EBRD for hydrogen project,2024-09-12,BUSINESS
Uzbekistan sees 42% surge in EV imports,2024-09-12,BUSINESS
Shavkat Mirziyoyev to host high-level Turkish delegation,2024-09-12,POLITICS
"South Korean investors to fund $36 million ""smart"" greenhouse project in Tashkent region",2024-09-12,BUSINESS
Kara-Suu border crossing between Uzbekistan and Kyrgyzstan reopens after 14 years closure,2024-09-12,POLITICS
Shakhrisabz airport reopens for civil aviation flights,2024-09-12,POLITICS
Saida Mirziyoyeva praises Uzbek Paralympians for their courage and determination,2024-09-12,SOCIETY
Uzbekistan to form new commission focused on poverty reduction,2024-09-12,POLITICS
Fans to enjoy free public transport and 50% railway discounts during Futsal World Cup in Uzbekistan,2024-09-11,SPORT
China Southern Airlines to increase flights from Beijing and Urumqi to Tashkent,2024-09-11,POLITICS
New EU Ambassador to Uzbekistan presents credentials to FM Bakhtiyor Saidov,2024-09-11,POLITICS
Poverty reduction to become a nationwide movement in Uzbekistan,2024-09-11,POLITICS
"Boysun gas field crisis: Efforts underway to contain high-pressure gas leak, minor poisoning cases reported",2024-09-11,SOCIETY
"Prosecutor General’s Office uncovers over 764,000 fake job reports and mismanagement of 4.2 billion UZS",2024-09-11,SOCIETY
President of Kyrgyzstan gifts a car to Uzbek boxing coach Akmal Hasanov,2024-09-11,SOCIETY
Gold prices soar to new heights: Bars and coins break records again,2024-09-11,SOCIETY
Uzbekistan and Russia establish mutual drug labeling recognition and data exchange system,2024-09-11,SOCIETY
Inflation expectations in Uzbekistan surge as businesses and citizens brace for price hikes,2024-09-11,SOCIETY
"""Navoiuran"" ranks 6th globally in uranium production",2024-09-11,SOCIETY
Competition Committee uncovers procurement violations across 25 state institutions,2024-09-11,SOCIETY
Inter RAO eyes investment in Uzbekistan's coal mining as Russia joins Central Asia’s power grid,2024-09-11,SOCIETY
Anti-Corruption Agency: 566 rehired officials face charges for repeat corruption offenses,2024-09-11,POLITICS
"""Umrah 2024"" season officially begins with 240 pilgrims heading to Saudi Arabia",2024-09-11,SOCIETY
Uzbekistan and Rosatom sign agreement to launch small nuclear power plant project,2024-09-11,POLITICS
"Uzbekistan secures 3-2 victory over Kyrgyzstan, leading Group A in WC-2026 qualifiers",2024-09-10,SPORT
Three lawyers arrested in Tashkent for bribery,2024-09-10,SOCIETY
Rental housing prices surge in Tashkent,2024-09-10,SOCIETY
Uzbekistan Airways flights en route Vnukovo airport rerouted to other cities in Russia,2024-09-10,SOCIETY
Entrepreneur sentenced to 5 years in prison for illegal connection to water supply system ,2024-09-10,SOCIETY
Train services between Tashkent and Moscow to be doubled from 2025,2024-09-10,BUSINESS
"Ex-deputy minister of agriculture, his daughter prosecuted for fraud and embezzlement",2024-09-10,POLITICS
President Mirziyoyev and Russian Prime Minister Mishustin discuss strengthening strategic partnership and cooperation,2024-09-10,POLITICS
Russia eyes to produce civilian drones in Uzbekistan,2024-09-10,POLITICS
Labor disputes escalate as Enter Engineering employees face prolonged salary delays,2024-09-10,BUSINESS
More people visiting Uzbekistan for treatment purposes ,2024-09-10,SOCIETY
Saida Mirziyoyeva highlights Uzbekistan's role in educating Afghan women at Qatar forum,2024-09-10,POLITICS
"Uzbekistan and Russia sign key agreements on railway transport, pharmaceutical labeling, and medical training",2024-09-10,POLITICS
Uzbekistan opens Honorary Consulate in Trabzon,2024-09-10,POLITICS
State organizations conducted illegal public procurement worth 20 billion UZS in two months ,2024-09-10,POLITICS
"Uzbekistan honors Paralympic athletes with luxury cars, cash awards, and more",2024-09-09,SPORT
Uzbekistan Airways to relaunch flights from Tashkent to Phu Quoc,2024-09-09,TOURISM
Russian Prime Minister Mikhail Mishustin arrives in Uzbekistan,2024-09-09,POLITICS
Anti-Corruption Agency discovers 398 ministry officials running businesses while in office,2024-09-09,SOCIETY
Several domestic flights at Tashkent Airport shift to international terminal for Uzbekistan Paralympic team's arrival,2024-09-09,SOCIETY
Samarkand and Tianjin plan $1.6 billion industrial park with focus on electric vehicle parts and AI,2024-09-09,BUSINESS
Uzbekistan to strengthen collaboration with Hungary on isotope technology exports,2024-09-09,BUSINESS
Uzbekistan and Islamic Organization for Food Security discuss future joint projects,2024-09-09,POLITICS
VAT refund process eased for exporters: Electronic data now sufficient for export confirmation,2024-09-09,BUSINESS
Migration Agency warns citizens of Uzbekistan in Kazakhstan to exercise caution during travel,2024-09-09,SOCIETY
Two Russian police officers responsible for death of a citizen of Uzbekistan arrested,2024-09-09,SOCIETY
Paris Paralympics 2024: Uzbekistan ranks 13th with 26 Medals,2024-09-09,SPORT
Uzbekistan's foreign reserves reach $39.15 billion as gold prices push asset value up by $1.75 billion,2024-09-09,BUSINESS
Shavkat Mirziyoyev attends World Nomad Games opening ceremony in Astana,2024-09-09,POLITICS
"Uzbekistan sees surge in mobile phone imports, China remains leading supplier",2024-09-09,BUSINESS
"Otabek Umarov takes permanent role as OCA Vice President, overseeing olympism in Central Asia",2024-09-09,SPORT
Shavkat Mirziyoyev arrives in Astana on a working visit,2024-09-08,SOCIETY
Президент Ирана предложил перенести столицу на юг,2024-09-08,SOCIETY
"Uzbekistan selling BYD Seagull for $4,300 more than its price in China",2024-09-07,SOCIETY
"Entrepreneurs in Oltinkul district disconnected from electricity, being forced to install solar panels ",2024-09-07,SOCIETY
$1 billion toll road project between Samarkand and Bukhara set to start by 2027,2024-09-07,BUSINESS
Uzbekistan repatriates 14 children in need of social protection from St. Petersburg,2024-09-07,POLITICS
Kyrgyzstan and Uzbekistan to reopen Kara-Suu border crossing after 14-year closure,2024-09-07,SOCIETY
Bakhti Tashkentsky seeks acquittal on multiple charges and revocation of recidivist status in appeal,2024-09-07,BUSINESS
Uzbekistan Railways cites increased operational costs as reason for ticket price surge,2024-09-07,SOCIETY
"Saida Mirziyoyeva visits Karakalpakstan, inspects social and economic conditions",2024-09-07,BUSINESS
August heat pushes 2024 summer into top three warmest on record in Uzbekistan,2024-09-07,SOCIETY
China’s CNUC to aid Uzbekistan in uranium exploration and develop scientific center for mining,2024-09-07,BUSINESS
Uzbekistan and Pakistan discuss strengthening cooperation in information technology and telecommunications,2024-09-06,POLITICS
"Kyrgyzstan temporarily halts livestock exports, Uzbekistan among affected buyers",2024-09-06,SOCIETY
"Uzbekistan and the U.S. discuss permanent business ties and social protection efforts, with focus on women entrepreneurs",2024-09-06,SOCIETY
GTL plant's tax payments halved due to export growth and tax benefits,2024-09-06,BUSINESS
Uzbekistan's public debt hits $37 billion as government plans further borrowing,2024-09-06,POLITICS
Olaf Scholz to visit Uzbekistan,2024-09-06,POLITICS
Competition Committee fines Sello for misleading ad on zero commission transfers,2024-09-06,SOCIETY
Uztemiryulyulovchi promises to replace outdated train wagons,2024-09-06,SOCIETY
Tax revenues decline as Uzbekistan imports more gas and produces less,2024-09-06,POLITICS
"Uzbekistan and China forge closer cooperation in green energy, trade, and innovation",2024-09-06,SOCIETY
Uzbekistan to increase freight shipments to EU countries via Bulgaria with enhanced transport collaboration,2024-09-06,SOCIETY
Russian Prime Minister Mishustin to visit Uzbekistan,2024-09-06,POLITICS
"SAMA extends application deadline for privatization of ""Neftegazmontaj"" and ""Uzogirsanoatloyiha""",2024-09-06,SOCIETY
Kyrgyzstan removes Taliban from Terrorist Organizations list,2024-09-06,SOCIETY
CIS security forces conduct joint military drills in Uzbekistan,2024-09-06,SOCIETY
Uzbekistan's state budget revenues up by 18.3% in H1 2024,2024-09-06,POLITICS
Legislation eases sanctions for small economic impact violations of Competition Law,2024-09-06,SOCIETY
"Boundary changes set to adjust borders between Syrdarya, Namangan and Tashkent regions",2024-09-06,SOCIETY
New uranium deposits discovered in Uzbekistan,2024-09-06,SOCIETY
FIFA World Cup 26: Uzbekistan national football team beats North Korea,2024-09-05,SPORT
Akfa University responds to Competition Committee's statement,2024-09-05,SOCIETY
Uzbekistan's crypto market expands: UzNex introduces Toncoin trading,2024-09-05,BUSINESS
Tashkent court opens trial against former Minister of Agriculture,2024-09-05,SOCIETY
"US dollar exchange rate surpasses 12,700 UZS mark as Uzbekistan’s national currency continues to weaken",2024-09-05,BUSINESS
Melting of Uzbekistan’s largest glacier raises alarming water shortage concerns,2024-09-05,SOCIETY
Japan sees Uzbekistan as key strategic partner for peace and development in Central Asia,2024-09-05,POLITICS
"Uzbekistan and FAO to expand cooperation on food security, digital agriculture, and innovation",2024-09-05,POLITICS
Government allocates $30 million to support factoring for local electrical equipment producers,2024-09-05,POLITICS
"Uzbekistan plans to privatize electricity and gas networks by 2027, expanding public-private partnerships",2024-09-05,SOCIETY
Boysun mine accident: Hydrogen sulfide gas leak forces evacuations amid health concerns,2024-09-05,SOCIETY
Shavkat Mirziyoyev gets acquainted with proposals for developing preschool education and improving system of work with gifted youth,2024-09-05,POLITICS
Chinese company planning to invest $40 million in copper processing plant in Namangan,2024-09-05,BUSINESS
Uzbekistan’s electrical engineering exports surpass $1 billion with plans for expansion,2024-09-05,BUSINESS
Senators discuss liability for unlicensed practitioners and amendments to healthcare laws,2024-09-05,POLITICS
New industrial technopark to be constructed in Nurafshon with $720 million investment,2024-09-05,BUSINESS
Uzbekistan and Türkiye discuss expanding strategic partnership and multilateral cooperation,2024-09-05,POLITICS
FM Saidov receives Special Representative of UN Secretary General,2024-09-05,POLITICS
Uzbekistan sees surge in students going abroad for education,2024-09-05,SOCIETY
"Uzbekistan starts World Cup 2026 qualifiers with home match against North Korea, fans urged to maintain order",2024-09-05,SPORT
State health insurance to be introduced in two regions from October 1,2024-09-05,BUSINESS
From exporter to importer: Uzbekistan's increasing dependence on foreign gas,2024-09-04,SOCIETY
Uzbekistan calls for united action against Afghanistan's ISIS-Khorasan terrorist group,2024-09-04,POLITICS
Uzbekistan to allocate $100 million for import substitution projects under new decree,2024-09-04,BUSINESS
Uzbekistan and UAE discuss strengthening educational and migration cooperation,2024-09-04,SOCIETY
Uzbekistan's Central Bank ranks among top global gold buyers in July — WGC Report,2024-09-04,BUSINESS
Russian parliament discusses suspension of citizenship for Central Asian migrants as a national security measure,2024-09-04,SOCIETY
Legal action taken against Akfa University for enrolling students in unlicensed Commercial Law program,2024-09-04,SOCIETY
UN FAO Director-General to visit Uzbekistan,2024-09-04,POLITICS
Nearly 700 thousand first-graders start attending schools in Uzbekistan this year,2024-09-04,SOCIETY
Income tax rate for catering establishments to be reduced by half,2024-09-04,BUSINESS
Honorary title “Honored Entrepreneur of Uzbekistan” established,2024-09-04,SOCIETY
Entrepreneurs’ surcharge for excess electricity and gas consumption to be reduced tenfold,2024-09-04,SOCIETY
"Criminal case launched against ""AIF"" platform after users report significant financial losses",2024-09-04,SOCIETY
"Uzbekistan sees significant growth in outbound tourism, with Kyrgyzstan and Tajikistan leading destinations",2024-09-04,SOCIETY
SSS Chief Abdusalom Azizov: Assisting Afghanistan in the fight against terrorism is key to regional stability,2024-09-04,SOCIETY
"Alisher Kadyrov urges legal ban on Soviet propaganda, calling it a betrayal of the Uzbek nation",2024-09-04,POLITICS
Shavkat Mirziyoyev calls for enhanced regional cooperation to ensure peace and security in counterterrorism efforts,2024-09-04,POLITICS
VAT to be refunded partially for some entrepreneurs,2024-09-04,SOCIETY
Azerbaijan and Uzbekistan to launch joint ferry production,2024-09-04,SOCIETY
Construction date of “Tashkent-Samarkand” and “Tashkent-Andijan” toll roads announced,2024-09-04,SOCIETY
EU Commissioner for Agriculture to visit Uzbekistan,2024-09-03,POLITICS
Kazakhstan selling Onix cheaper than the discounted price in Uzbekistan,2024-09-03,SOCIETY
Samarkand resident who campaigned for USSR restoration brought to criminal liability ,2024-09-03,SOCIETY
Centrum Air expands fleet with new Airbus A321neo for long-haul routes,2024-09-03,SOCIETY
Uzbekistan and Hungary strengthen cooperation in culture and heritage preservation,2024-09-03,SOCIETY
Tashkent to host SCO and CIS conferences on strengthening anti-terrorism efforts,2024-09-03,SOCIETY
Citizens of Uzbekistan in Saudi Arabia advised to exercise caution due to extreme weather,2024-09-03,SOCIETY
People's artist of Uzbekistan Bobomurod Hamdamov passes away,2024-09-03,SOCIETY
People's artist of Uzbekistan Bobomurod Hamdamov passes away,2024-09-03,SOCIETY
Uzbekistan's Consul General in Kazan discusses expanded cooperation with Tatarstan's President,2024-09-03,POLITICS
Uzbekistan passes law expanding prisoners' rights,2024-09-03,SOCIETY
"Annual inflation hits 10.5% in August: Detailed breakdown of price changes in food, services, and utilities",2024-09-02,POLITICS
Global textile and fashion industry comes to Silk Road for conference in Uzbekistan,2024-09-02,BUSINESS
New departure hall opened at Tashkent International Airport – Photos,2024-09-02,SOCIETY
"""Initiative Budget"" 2024: 1,772 winning projects to receive over 2.1 trillion UZS",2024-09-02,BUSINESS
Hydrogen sulfide leak prompts evacuation near Baysun mine,2024-09-02,SOCIETY
Uzbekistan appoints new ambassador to Kazakhstan,2024-09-02,POLITICS
Citizens of Uzbekistan may work in South Korea with two new visas,2024-08-31,SOCIETY
Inclusive IT camp opens in Bostanlyk,2024-08-31,SOCIETY
Tashkent airport opens its renovated departure hall,2024-08-31,SOCIETY
Silk Avia to launch regular flights en route Tashkent-Shakhrisabz,2024-08-31,SOCIETY
Russian Minister thanks Uzbeks for their contribution to Russia’s economic development,2024-08-31,POLITICS
Hungary expresses interest in long-term textile deals with Uzbekistan,2024-08-31,SOCIETY
"Uzbekistan joins ICCROM as its 138th member, boosting cultural heritage preservation efforts",2024-08-31,SOCIETY
Uzbekistan and China to expand investment opportunities through enhanced interregional cooperation,2024-08-31,SOCIETY
UN expert criticizes Uzbekistan's urban planning for lack of public participation and legal protections,2024-08-31,SOCIETY
"New small hydropower plant officially launched in Surkhandarya, ready to generate 13 million kWh of electricity annually",2024-08-31,SOCIETY
President Mirziyoyev commemorates victims of repression at the Martyrs' Memorial Complex,2024-08-31,SOCIETY
"President Mirziyoyev signs decree pardoning over 500 prisoners, including foreign nationals and prohibited organization members",2024-08-30,POLITICS
Uzbekistan prohibits housing demolition without prior compensation to owners,2024-08-30,SOCIETY
Uzbekistan’s new ambassador to France presents credentials to French Foreign Ministry,2024-08-30,POLITICS
Uzbekistan secures first gold at 2024 Paralympics as Asila Mirzayorova shatters long jump record,2024-08-30,SPORT
Kazakhstan extends ban on fuel exports,2024-08-30,SOCIETY
"Kazakh banks halt operations with Russia's ""Zolotaya Korona"" payment system amid U.S. sanctions",2024-08-30,SOCIETY
Nodirbek Yakubboev wins Abu Dhabi Chess Festival's Masters tournament,2024-08-30,SOCIETY
Uzbekistan and Qatar discuss strategic partnership and implementation of high-level agreements,2024-08-30,SOCIETY
Paralympics 2024: Uzbekistan starts strong with bronze and silver medals,2024-08-30,SPORT
